"","Region","Year","TyphoidRate","DiarrheaRate","HepatitisRate","UnsafeRisk","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","People practicing open defecation (% of population)","People using at least basic drinking water services (% of population)","People using at least basic sanitation services (% of population)","People using safely managed drinking water services (% of population)","People using safely managed sanitation services (% of population)","People with basic handwashing facilities including soap and water (% of population)","Population density (people per sq. km of land area)","Population, total","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
"26","African Region",2003,0.04,22.43,0.68,10.19,10.6377752702326,30.5588058536905,58.2191847869767,27.4354666190238,16.8310775855238,16.24197593764,10.1558790975,82.8727505988478,15546526.7446809,30.5087465766279
"27","African Region",2004,0.04,22.32,0.68,10.1,10.7705906271163,29.7749748763095,58.8941827725581,28.1011107380476,17.327165559619,16.58857033124,10.4675168425,84.3663011266304,15966889.2553191,33.5935226926512
"28","African Region",2005,0.04,22.27,0.68,10.06,10.9004073156512,28.9927033249286,59.5719343718605,28.8358677144524,17.830862484619,17.01335889492,10.9746379376667,86.2152938894348,16401440.212766,35.8844061346744
"29","African Region",2006,0.04,22.28,0.68,10.16,11.0060801463953,28.2187715199048,60.2608141937209,29.5814553188333,18.3462653312381,17.4389681448,11.4824402506667,88.1617204339348,16849466.7446809,38.0062852628605
"30","African Region",2007,0.04,22.33,0.68,10.11,11.0745538856744,27.4439469096905,60.9561381281395,30.3398417410952,18.907792812381,17.86386950564,11.985576744,90.1138437871522,17312076.212766,40.7310196333256
"31","African Region",2008,0.03,22.37,0.68,9.95,11.3250599919767,26.6704136415476,61.6562976437209,31.1053132080714,19.4762590477619,18.28787979964,12.4852991433333,92.2137151021522,17791207.8510638,44.1558561763488
"32","African Region",2009,0.03,22.38,0.68,9.81,11.337547330814,25.902526127,62.3533086593023,31.8760928341905,20.0024960611429,18.70352286532,12.9858555808333,94.3375067863913,18283136.6595745,45.1447571125581
"33","African Region",2010,0.03,22.32,0.67,9.65,11.4675968210465,25.1397557641429,63.0475610439535,32.6515895864048,20.5282612111429,19.08657079956,13.4874030301667,96.5575337470652,18791036.9787234,45.3410594277209
"34","African Region",2011,0.03,22.09,0.68,9.38,11.5101247349302,24.3838943111429,63.7478397413953,33.4300177846667,21.2666223989524,19.5269206508,13.9898666351667,98.7348809083913,19317912.0425532,47.7512469929302
"35","African Region",2012,0.03,21.69,0.68,9.13,11.6138817665814,23.6371232908571,64.4409423902326,34.2023708390238,22.0454413874762,19.95127966536,14.4932857555,100.885353848761,19856002.9361702,50.9712281274651
"36","African Region",2013,0.03,21.2,0.68,8.87,11.7101343537674,22.8960784265952,65.1303720727907,34.9783206381191,22.6464780514762,20.36902881516,14.9975386046667,103.108152227826,20404077.3191489,51.3881867410465
